func,control,ta,agg,meter_num,meter_time,name,host,timestamp
oneTimeMeterRegTime,198000,0,140157501,20,141778402,boudia,BruceChen,2021-07-15T011027
oneTimeMeterRepTime,36256300,0,150240600,20,551194401,boudia,BruceChen,2021-07-15T011027
oneTimeMeterRegTime,700,0,200478997,30,201662890,boudia,BruceChen,2021-07-15T011027
oneTimeMeterRepTime,32800000,0,211988200,30,788945498,boudia,BruceChen,2021-07-15T011027
oneTimeMeterRegTime,1300,0,267082804,40,268913603,boudia,BruceChen,2021-07-15T011027
oneTimeMeterRepTime,32128600,0,284802400,40,1060030912,boudia,BruceChen,2021-07-15T011027
oneTimeMeterRegTime,999,0,325468896,50,327869199,boudia,BruceChen,2021-07-15T011027
oneTimeMeterRepTime,32064000,0,355384900,50,1303886906,boudia,BruceChen,2021-07-15T011027
oneTimeMeterRegTime,999,0,397593201,60,394848506,boudia,BruceChen,2021-07-15T011027
oneTimeMeterRepTime,30768100,0,411901901,60,1586909895,boudia,BruceChen,2021-07-15T011027
oneTimeMeterRegTime,22630346000,1136414,0,20,377390632,ni,raspberrypi,2021-07-07T013943
oneTimeMeterRegTime,33695378435,167855,0,30,541295615,ni,raspberrypi,2021-07-07T013943
oneTimeMeterRegTime,44772005255,264220,0,40,722366437,ni,raspberrypi,2021-07-07T013943
oneTimeMeterRegTime,55794820761,451681,0,50,901926590,ni,raspberrypi,2021-07-07T013943
oneTimeMeterRegTime,67722555052,591197,0,60,1092156080,ni,raspberrypi,2021-07-07T013943
oneTimeMeterRegTime,22507135869,191667,0,20,363257274,ni,raspberrypi,2021-07-07T013943
oneTimeMeterRepTime,71604551,0,4005201712,20,2208446468,ni,raspberrypi,2021-07-07T013943
oneTimeMeterRegTime,33991424412,305885,0,30,547091447,ni,raspberrypi,2021-07-07T013943
oneTimeMeterRepTime,63966016,0,5733835739,30,3464299808,ni,raspberrypi,2021-07-07T013943
oneTimeMeterRegTime,45047312895,286794,0,40,729560594,ni,raspberrypi,2021-07-07T013943
oneTimeMeterRepTime,65106006,0,7583959070,40,4344984142,ni,raspberrypi,2021-07-07T013943
oneTimeMeterRegTime,56279256781,140279,0,50,911418419,ni,raspberrypi,2021-07-07T013943
oneTimeMeterRepTime,65355652,0,9464783476,50,5439410731,ni,raspberrypi,2021-07-07T013943
oneTimeMeterRegTime,67720530537,174052,0,60,1091587094,ni,raspberrypi,2021-07-07T013943
oneTimeMeterRepTime,65231266,0,11374870270,60,6537679296,ni,raspberrypi,2021-07-07T013943
oneTimeMeterRegTime,8283849300,219800,0,20,135537200,ni,BruceChen,2021-07-15T012700
oneTimeMeterRegTime,12407993300,42400,0,30,199294700,ni,BruceChen,2021-07-15T012700
oneTimeMeterRegTime,16419499700,59200,0,40,263737100,ni,BruceChen,2021-07-15T012700
oneTimeMeterRegTime,20387364000,101200,0,50,329479900,ni,BruceChen,2021-07-15T012700
oneTimeMeterRegTime,24563456300,138800,0,60,395208200,ni,BruceChen,2021-07-15T012700
oneTimeMeterRegTime,8216398500,43100,0,20,133064300,ni,BruceChen,2021-07-15T012700
oneTimeMeterRepTime,22688800,0,1332223200,20,786834000,ni,BruceChen,2021-07-15T012700
oneTimeMeterRegTime,12482884900,71200,0,30,201654400,ni,BruceChen,2021-07-15T012700
oneTimeMeterRepTime,22765300,0,2024764900,30,1182502900,ni,BruceChen,2021-07-15T012700
oneTimeMeterRegTime,16369783200,46800,0,40,261965300,ni,BruceChen,2021-07-15T012700
oneTimeMeterRepTime,22411300,0,2625652500,40,1566149300,ni,BruceChen,2021-07-15T012700
oneTimeMeterRegTime,20446955700,19000,0,50,329231700,ni,BruceChen,2021-07-15T012700
oneTimeMeterRepTime,22552700,0,3301398700,50,2005381500,ni,BruceChen,2021-07-15T012700
oneTimeMeterRegTime,24572092500,23700,0,60,394557700,ni,BruceChen,2021-07-15T012700
oneTimeMeterRepTime,23089900,0,4002055600,60,2343978400,ni,BruceChen,2021-07-15T012700
meterRegTime_3,9900,619100,0,20,276731000,cir,BruceChen,2021-07-15T012606
meterRepTime_3,9363700,0,2263300,20,127962600,cir,BruceChen,2021-07-15T012606
meterRegTime_3,8800,535600,0,30,407246700,cir,BruceChen,2021-07-15T012606
meterRegTime_3,8800,436000,0,30,407266700,cir,BruceChen,2021-07-15T012606
meterRepTime_3,9430200,0,2409100,30,186417200,cir,BruceChen,2021-07-15T012606
meterRegTime_3,8700,309700,0,40,544954800,cir,BruceChen,2021-07-15T012606
meterRegTime_3,9400,255500,0,40,539860400,cir,BruceChen,2021-07-15T012606
meterRepTime_3,9291300,0,2897600,40,248017500,cir,BruceChen,2021-07-15T012606
meterRegTime_3,9300,296500,0,50,667881700,cir,BruceChen,2021-07-15T012606
meterRegTime_3,10600,285300,0,50,664768100,cir,BruceChen,2021-07-15T012606
meterRepTime_3,9051800,0,3361500,50,310307400,cir,BruceChen,2021-07-15T012606
meterRegTime_3,11400,243400,0,60,808906500,cir,BruceChen,2021-07-15T012606
meterRegTime_3,13100,247800,0,60,809134400,cir,BruceChen,2021-07-15T012606
meterRepTime_3,9143000,0,3996700,60,368888600,cir,BruceChen,2021-07-15T012606
meterRegTime_2,12800,122600,0,20,269867500,cir,BruceChen,2021-07-15T012606
meterRegTime_2,13100,78400,0,20,270155600,cir,BruceChen,2021-07-15T012606
meterRepTime_2,9842900,0,1354800,20,108627600,cir,BruceChen,2021-07-15T012606
meterRegTime_3,12400,76600,0,20,269121900,cir,BruceChen,2021-07-15T012606
meterRegTime_3,12200,75300,0,20,269289800,cir,BruceChen,2021-07-15T012606
meterRepTime_3,9830500,0,1356000,20,131574900,cir,BruceChen,2021-07-15T012606
meterRegTime_4,12500,86900,0,20,270364000,cir,BruceChen,2021-07-15T012606
meterRegTime_4,14000,74200,0,20,269017900,cir,BruceChen,2021-07-15T012606
meterRepTime_4,9665200,0,1354000,20,132617100,cir,BruceChen,2021-07-15T012606
meterRegTime_5,13400,72900,0,20,269513200,cir,BruceChen,2021-07-15T012606
meterRegTime_5,12100,73900,0,20,270611600,cir,BruceChen,2021-07-15T012606
meterRepTime_5,9874000,0,1350600,20,130783300,cir,BruceChen,2021-07-15T012606
meterRegTime_6,13300,83400,0,20,269909900,cir,BruceChen,2021-07-15T012606
meterRegTime_6,12800,72400,0,20,269222200,cir,BruceChen,2021-07-15T012606
meterRepTime_6,9903400,0,1375700,20,130898200,cir,BruceChen,2021-07-15T012606
meterRepTime_r2,9016600,0,1290900,20,120821900,cir,BruceChen,2021-07-15T012606
meterRepTime_r3,9025300,0,1295400,20,122549800,cir,BruceChen,2021-07-15T012606
meterRepTime_r4,9033600,0,1296600,20,121921400,cir,BruceChen,2021-07-15T012606
meterRepTime_r5,9226700,0,1329500,20,124856400,cir,BruceChen,2021-07-15T012606
meterRepTime_r6,9520200,0,1334500,20,126116900,cir,BruceChen,2021-07-15T012606
meterRegTime,0,451715955,0,20,28293067,homo,raspberrypi,2021-07-07T013853
oneTimeMeterRepTime,43015328,0,436099315,20,722983295,homo,raspberrypi,2021-07-07T013853
meterRegTime,0,629119513,0,30,14798534,homo,raspberrypi,2021-07-07T013853
oneTimeMeterRepTime,39319088,0,470443233,30,810131090,homo,raspberrypi,2021-07-07T013853
meterRegTime,0,795643958,0,40,8318673,homo,raspberrypi,2021-07-07T013853
oneTimeMeterRepTime,38530966,0,592073665,40,1045870845,homo,raspberrypi,2021-07-07T013853
meterRegTime,0,988694888,0,50,9063503,homo,raspberrypi,2021-07-07T013853
oneTimeMeterRepTime,38168507,0,728067419,50,1298017455,homo,raspberrypi,2021-07-07T013853
meterRegTime,0,1176210718,0,60,8197918,homo,raspberrypi,2021-07-07T013853
oneTimeMeterRepTime,37866177,0,854798749,60,1569462987,homo,raspberrypi,2021-07-07T013853
meterRegTime,0,175142000,0,20,5068900,homo,BruceChen,2021-07-15T012639
oneTimeMeterRepTime,15476100,0,114953800,20,226759700,homo,BruceChen,2021-07-15T012639
meterRegTime,0,224653900,0,30,2774600,homo,BruceChen,2021-07-15T012639
oneTimeMeterRepTime,14799200,0,156118400,30,302657400,homo,BruceChen,2021-07-15T012639
meterRegTime,0,294609300,0,40,1942300,homo,BruceChen,2021-07-15T012639
oneTimeMeterRepTime,14829000,0,201074200,40,397960900,homo,BruceChen,2021-07-15T012639
meterRegTime,0,369105400,0,50,1868600,homo,BruceChen,2021-07-15T012639
oneTimeMeterRepTime,14842600,0,249833000,50,492760200,homo,BruceChen,2021-07-15T012639
meterRegTime,0,440034800,0,60,1650500,homo,BruceChen,2021-07-15T012639
oneTimeMeterRepTime,16149600,0,284778000,60,588236600,homo,BruceChen,2021-07-15T012639
meterRegTime_3,46629,4590678,0,20,848934308,cir,raspberrypi,2021-07-07T013732
meterRepTime_3,27622555,0,107043867,20,452756759,cir,raspberrypi,2021-07-07T013732
meterRegTime_3,40332,9594464,0,30,1129761881,cir,raspberrypi,2021-07-07T013732
meterRegTime_3,42037,2179555,0,30,1113140543,cir,raspberrypi,2021-07-07T013732
meterRepTime_3,24725400,0,11245776,30,492266753,cir,raspberrypi,2021-07-07T013732
meterRegTime_3,39926,2079239,0,40,1482950717,cir,raspberrypi,2021-07-07T013732
meterRegTime_3,47704,1771296,0,40,1480758609,cir,raspberrypi,2021-07-07T013732
meterRepTime_3,24480772,0,9398202,40,650151316,cir,raspberrypi,2021-07-07T013732
meterRegTime_3,43647,1972073,0,50,1848155523,cir,raspberrypi,2021-07-07T013732
meterRegTime_3,52611,2191895,0,50,1838169852,cir,raspberrypi,2021-07-07T013732
meterRepTime_3,24573068,0,11293590,50,809656992,cir,raspberrypi,2021-07-07T013732
meterRegTime_3,51185,2016698,0,60,2200889274,cir,raspberrypi,2021-07-07T013732
meterRegTime_3,54518,1939498,0,60,2201033164,cir,raspberrypi,2021-07-07T013732
meterRepTime_3,24221572,0,12697298,60,966915426,cir,raspberrypi,2021-07-07T013732
meterRegTime_2,52203,777271,0,20,735865102,cir,raspberrypi,2021-07-07T013732
meterRegTime_2,55648,664785,0,20,732668314,cir,raspberrypi,2021-07-07T013732
meterRepTime_2,24296312,0,4153088,20,254646617,cir,raspberrypi,2021-07-07T013732
meterRegTime_3,55278,601665,0,20,735791758,cir,raspberrypi,2021-07-07T013732
meterRegTime_3,54796,574343,0,20,734010065,cir,raspberrypi,2021-07-07T013732
meterRepTime_3,24518069,0,4355327,20,324562097,cir,raspberrypi,2021-07-07T013732
meterRegTime_4,55648,752655,0,20,733435312,cir,raspberrypi,2021-07-07T013732
meterRegTime_4,56295,574696,0,20,732916428,cir,raspberrypi,2021-07-07T013732
meterRepTime_4,24282200,0,4397012,20,325053258,cir,raspberrypi,2021-07-07T013732
meterRegTime_5,54370,526422,0,20,734380220,cir,raspberrypi,2021-07-07T013732
meterRegTime_5,55703,576935,0,20,732705130,cir,raspberrypi,2021-07-07T013732
meterRepTime_5,24265183,0,4111403,20,325185572,cir,raspberrypi,2021-07-07T013732
meterRegTime_6,51647,612027,0,20,732992260,cir,raspberrypi,2021-07-07T013732
meterRegTime_6,55203,610124,0,20,734061766,cir,raspberrypi,2021-07-07T013732
meterRepTime_6,24429218,0,4424215,20,324468469,cir,raspberrypi,2021-07-07T013732
meterRepTime_r2,24215627,0,4223772,20,324372638,cir,raspberrypi,2021-07-07T013732
meterRepTime_r3,24251461,0,4160328,20,323557741,cir,raspberrypi,2021-07-07T013732
meterRepTime_r4,24294886,0,4030515,20,324019716,cir,raspberrypi,2021-07-07T013732
meterRepTime_r5,24394255,0,4153199,20,324070805,cir,raspberrypi,2021-07-07T013732
meterRepTime_r6,24399478,0,4010293,20,325596757,cir,raspberrypi,2021-07-07T013732
oneTimeMeterRegTime,785770,0,377006486,20,377198000,boudia,raspberrypi,2021-07-07T013618
oneTimeMeterRepTime,112981451,0,440731488,20,1605697874,boudia,raspberrypi,2021-07-07T013618
oneTimeMeterRegTime,4574,0,545401545,30,541495766,boudia,raspberrypi,2021-07-07T013618
oneTimeMeterRepTime,89307506,0,599158372,30,2183540383,boudia,raspberrypi,2021-07-07T013618
oneTimeMeterRegTime,3296,0,712309326,40,722196613,boudia,raspberrypi,2021-07-07T013618
oneTimeMeterRepTime,88354997,0,782260992,40,2894094638,boudia,raspberrypi,2021-07-07T013618
oneTimeMeterRegTime,3630,0,897298061,50,902333143,boudia,raspberrypi,2021-07-07T013618
oneTimeMeterRepTime,87093066,0,967811205,50,3638282980,boudia,raspberrypi,2021-07-07T013618
oneTimeMeterRegTime,4500,0,1072436437,60,1077313886,boudia,raspberrypi,2021-07-07T013618
oneTimeMeterRepTime,83255236,0,1151665144,60,4365495733,boudia,raspberrypi,2021-07-07T013618
