func,control,ta,agg,meter_num,meter_time,name,host,timestamp
meterRepTime_r10,28924119,0,117861701,20,445804144,cir,raspberrypi,2021-07-29T231347
meterRepTime_r9,24716937,0,10194039,20,348170257,cir,raspberrypi,2021-07-29T231347
meterRepTime_r8,24549855,0,6339347,20,330795559,cir,raspberrypi,2021-07-29T231347
meterRepTime_r7,24533946,0,5736406,20,329593138,cir,raspberrypi,2021-07-29T231347
meterRepTime_r6,24212056,0,4653550,20,327586287,cir,raspberrypi,2021-07-29T231347
meterRepTime_r5,24397812,0,6225539,20,328653276,cir,raspberrypi,2021-07-29T231347
meterRepTime_r4,24477727,0,7259665,20,329974243,cir,raspberrypi,2021-07-29T231347
meterRepTime_r3,24187784,0,4339614,20,339289728,cir,raspberrypi,2021-07-29T231347
meterRepTime_r2,24183191,0,4881568,20,324213401,cir,raspberrypi,2021-07-29T231347
meterRepTime_r10,28055366,0,124000485,20,455718561,cir,raspberrypi,2021-07-29T231151
meterRepTime_r9,24632703,0,8564138,20,338576893,cir,raspberrypi,2021-07-29T231151
meterRepTime_r8,24596104,0,6751656,20,332081813,cir,raspberrypi,2021-07-29T231151
meterRepTime_r7,24446359,0,5525884,20,350559650,cir,raspberrypi,2021-07-29T231151
meterRepTime_r6,24325468,0,4563179,20,329705029,cir,raspberrypi,2021-07-29T231151
meterRepTime_r5,24570209,0,5366707,20,329928754,cir,raspberrypi,2021-07-29T231151
meterRepTime_r4,24668566,0,7130260,20,332495713,cir,raspberrypi,2021-07-29T231151
meterRepTime_r3,24254643,0,4423327,20,326384454,cir,raspberrypi,2021-07-29T231151
meterRepTime_r2,24280913,0,4485049,20,327097706,cir,raspberrypi,2021-07-29T231151
meterRepTime_r10,27996963,0,114358740,20,438109369,cir,raspberrypi,2021-07-29T213327
meterRepTime_r9,24565204,0,9903889,20,345245648,cir,raspberrypi,2021-07-29T213327
meterRepTime_r8,24711092,0,7007333,20,341044280,cir,raspberrypi,2021-07-29T213327
meterRepTime_r7,24403907,0,5692130,20,332604940,cir,raspberrypi,2021-07-29T213327
meterRepTime_r6,24300685,0,4669778,20,342642704,cir,raspberrypi,2021-07-29T213327
meterRepTime_r5,24599889,0,7250352,20,330719202,cir,raspberrypi,2021-07-29T213327
meterRepTime_r4,24593092,0,6868463,20,330783517,cir,raspberrypi,2021-07-29T213327
meterRepTime_r3,24257741,0,4379203,20,326344385,cir,raspberrypi,2021-07-29T213327
meterRepTime_r2,24303574,0,4692685,20,326592850,cir,raspberrypi,2021-07-29T213327
meterRepTime_r10,28888093,0,116871667,20,446448739,cir,raspberrypi,2021-07-29T213938
meterRepTime_r9,24721593,0,10509852,20,348220726,cir,raspberrypi,2021-07-29T213938
meterRepTime_r8,24467296,0,6150611,20,330293144,cir,raspberrypi,2021-07-29T213938
meterRepTime_r7,24548778,0,5853592,20,329427147,cir,raspberrypi,2021-07-29T213938
meterRepTime_r6,24215463,0,4692685,20,327993666,cir,raspberrypi,2021-07-29T213938
meterRepTime_r5,24428185,0,6790019,20,328392240,cir,raspberrypi,2021-07-29T213938
meterRepTime_r4,24509148,0,31615815,20,330389003,cir,raspberrypi,2021-07-29T213938
meterRepTime_r3,24195778,0,4423926,20,324353630,cir,raspberrypi,2021-07-29T213938
meterRepTime_r2,24181537,0,4672167,20,324638186,cir,raspberrypi,2021-07-29T213938
meterRepTime_r10,29284619,0,125768347,20,447909046,cir,raspberrypi,2021-07-29T231226
meterRepTime_r9,24412790,0,8362538,20,343229548,cir,raspberrypi,2021-07-29T231226
meterRepTime_r8,24597070,0,6160331,20,330929722,cir,raspberrypi,2021-07-29T231226
meterRepTime_r7,24363676,0,5877719,20,329831597,cir,raspberrypi,2021-07-29T231226
meterRepTime_r6,24279138,0,4771565,20,342617487,cir,raspberrypi,2021-07-29T231226
meterRepTime_r5,24641417,0,6725440,20,328515971,cir,raspberrypi,2021-07-29T231226
meterRepTime_r4,24501584,0,6278677,20,330735485,cir,raspberrypi,2021-07-29T231226
